accession,repository,disease_term,num_samples_estimate,data_type,metadata_source,raw_link_endpoint
GSE241631,GEO,Parkinson's Disease,"IntegerElement(3, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241631
GSE236458,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236458
GSE160299,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160299
GSE237254,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237254
GSE240907,GEO,Parkinson's Disease,"IntegerElement(27, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240907
GSE229769,GEO,Parkinson's Disease,"IntegerElement(9, attributes={})",Genome variation profiling by SNP array; SNP genotyping by SNP array; Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229769
GSE229768,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Genome variation profiling by SNP array; SNP genotyping by SNP array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229768
GSE229767,GEO,Parkinson's Disease,"IntegerElement(1, attributes={})",Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229767
GSE229766,GEO,Parkinson's Disease,"IntegerElement(2, attributes={})",Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229766
GSE219246,GEO,Parkinson's Disease,"IntegerElement(22, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219246
GSE219245,GEO,Parkinson's Disease,"IntegerElement(2, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219245
GSE238129,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238129
GSE157394,GEO,Parkinson's Disease,"IntegerElement(21, attributes={})",Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157394
GSE157392,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157392
GSE157340,GEO,Parkinson's Disease,"IntegerElement(9, attributes={})",Genome binding/occupancy profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157340
GSE211934,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211934
GSE237133,GEO,Parkinson's Disease,"IntegerElement(3, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237133
GSE214243,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214243
GSE205450,GEO,Parkinson's Disease,"IntegerElement(150, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205450
GSE232910,GEO,Parkinson's Disease,"IntegerElement(19, attributes={})",Expression profiling by high throughput sequencing; Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232910
GSE200610,GEO,Parkinson's Disease,"IntegerElement(14, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200610
GSE174052,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Non-coding RNA profiling by genome tiling array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174052
GSE193688,GEO,Parkinson's Disease,"IntegerElement(34, attributes={})",Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193688
GSE227990,GEO,Parkinson's Disease,"IntegerElement(33, attributes={})",Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227990
GSE226890,GEO,Parkinson's Disease,"IntegerElement(4, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226890
GSE198033,GEO,Parkinson's Disease,"IntegerElement(11, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198033
GSE148434,GEO,Parkinson's Disease,"IntegerElement(70, attributes={})",Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148434
GSE202667,GEO,Parkinson's Disease,"IntegerElement(119, attributes={})",Non-coding RNA profiling by array; Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202667
GSE202666,GEO,Parkinson's Disease,"IntegerElement(60, attributes={})",Non-coding RNA profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202666
GSE202665,GEO,Parkinson's Disease,"IntegerElement(59, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202665
GSE218635,GEO,Parkinson's Disease,"IntegerElement(15, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218635
GSE168496,GEO,Parkinson's Disease,"IntegerElement(16, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168496
GSE221543,GEO,Parkinson's Disease,"IntegerElement(119, attributes={})",Non-coding RNA profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221543
GSE198009,GEO,Parkinson's Disease,"IntegerElement(16, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198009
GSE192405,GEO,Parkinson's Disease,"IntegerElement(13, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192405
GSE216281,GEO,Parkinson's Disease,"IntegerElement(84, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216281
GSE203522,GEO,Parkinson's Disease,"IntegerElement(16, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203522
GSE147633,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147633
GSE141277,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141277
GSE141244,GEO,Parkinson's Disease,"IntegerElement(10, attributes={})",Genome binding/occupancy profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141244
GSE208347,GEO,Parkinson's Disease,"IntegerElement(16, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208347
GSE208784,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208784
GSE208783,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208783
GSE208781,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208781
GSE207713,GEO,Parkinson's Disease,"IntegerElement(10, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207713
GSE196190,GEO,Parkinson's Disease,"IntegerElement(24, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196190
GSE186243,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186243
GSE176160,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176160
GSE206327,GEO,Parkinson's Disease,"IntegerElement(30, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206327
GSE206308,GEO,Parkinson's Disease,"IntegerElement(23, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206308
GSE204796,GEO,Parkinson's Disease,"IntegerElement(9, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204796
GSE204795,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204795
GSE205235,GEO,Parkinson's Disease,"IntegerElement(3, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205235
GSE199349,GEO,Parkinson's Disease,"IntegerElement(60, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199349
GSE198273,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Non-coding RNA profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198273
GSE172116,GEO,Parkinson's Disease,"IntegerElement(99, attributes={})",Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172116
GSE167529,GEO,Parkinson's Disease,"IntegerElement(42, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167529
GSE184950,GEO,Parkinson's Disease,"IntegerElement(34, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184950
GSE189202,GEO,Parkinson's Disease,"IntegerElement(4, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189202
GSE194245,GEO,Parkinson's Disease,"IntegerElement(28, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194245
GSE180193,GEO,Parkinson's Disease,"IntegerElement(165, attributes={})",Non-coding RNA profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180193
GSE173903,GEO,Parkinson's Disease,"IntegerElement(3, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173903
GSE82340,GEO,Parkinson's Disease,"IntegerElement(22, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82340
GSE186255,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186255
GSE182622,GEO,Parkinson's Disease,"IntegerElement(270, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182622
GSE186780,GEO,Parkinson's Disease,"IntegerElement(2, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186780
GSE152768,GEO,Parkinson's Disease,"IntegerElement(27, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152768
GSE184956,GEO,Parkinson's Disease,"IntegerElement(13, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184956
GSE176167,GEO,Parkinson's Disease,"IntegerElement(9, attributes={})",Non-coding RNA profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176167
GSE141578,GEO,Parkinson's Disease,"IntegerElement(35, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141578
GSE183499,GEO,Parkinson's Disease,"IntegerElement(10, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183499
GSE183248,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183248
GSE178683,GEO,Parkinson's Disease,"IntegerElement(21, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178683
GSE181029,GEO,Parkinson's Disease,"IntegerElement(36, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181029
GSE178146,GEO,Parkinson's Disease,"IntegerElement(28, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178146
GSE181126,GEO,Parkinson's Disease,"IntegerElement(46, attributes={})",Methylation profiling by genome tiling array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181126
GSE175555,GEO,Parkinson's Disease,"IntegerElement(2, attributes={})",Genome binding/occupancy profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175555
GSE145814,GEO,Parkinson's Disease,"IntegerElement(36, attributes={})",Non-coding RNA profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145814
GSE169755,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169755
GSE163176,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163176
GSE114918,GEO,Parkinson's Disease,"IntegerElement(52, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114918
GSE178470,GEO,Parkinson's Disease,"IntegerElement(3, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178470
GSE178265,GEO,Parkinson's Disease,"IntegerElement(101, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178265
GSE174473,GEO,Parkinson's Disease,"IntegerElement(155, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174473
GSE126750,GEO,Parkinson's Disease,"IntegerElement(15, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126750
GSE106608,GEO,Parkinson's Disease,"IntegerElement(16, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106608
GSE171992,GEO,Parkinson's Disease,"IntegerElement(9, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171992
GSE171999,GEO,Parkinson's Disease,"IntegerElement(24, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171999
GSE171276,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171276
GSE147617,GEO,Parkinson's Disease,"IntegerElement(4, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147617
GSE165083,GEO,Parkinson's Disease,"IntegerElement(54, attributes={})",Expression profiling by high throughput sequencing; Methylation profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165083
GSE165082,GEO,Parkinson's Disease,"IntegerElement(26, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165082
GSE165081,GEO,Parkinson's Disease,"IntegerElement(28, attributes={})",Methylation profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165081
GSE166790,GEO,Parkinson's Disease,"IntegerElement(1, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166790
GSE135750,GEO,Parkinson's Disease,"IntegerElement(9, attributes={})",Genome binding/occupancy profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135750
GSE135748,GEO,Parkinson's Disease,"IntegerElement(97, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135748
GSE135747,GEO,Parkinson's Disease,"IntegerElement(28, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135747
GSE135746,GEO,Parkinson's Disease,"IntegerElement(26, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135746
GSE135745,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135745
GSE135744,GEO,Parkinson's Disease,"IntegerElement(45, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135744
GSE135742,GEO,Parkinson's Disease,"IntegerElement(90, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135742
GSE167335,GEO,Parkinson's Disease,"IntegerElement(10, attributes={})",Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167335
GSE151808,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151808
GSE135751,GEO,Parkinson's Disease,"IntegerElement(366, attributes={})",Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135751
GSE135743,GEO,Parkinson's Disease,"IntegerElement(59, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135743
GSE163323,GEO,Parkinson's Disease,"IntegerElement(51, attributes={})",Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163323
GSE135150,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135150
GSE135149,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Non-coding RNA profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135149
GSE157783,GEO,Parkinson's Disease,"IntegerElement(11, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157783
GSE149632,GEO,Parkinson's Disease,"IntegerElement(24, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149632
GSE136666,GEO,Parkinson's Disease,"IntegerElement(16, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136666
GSE154112,GEO,Parkinson's Disease,"IntegerElement(48, attributes={})",Expression profiling by high throughput sequencing; Other,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154112
GSE155700,GEO,Parkinson's Disease,"IntegerElement(144, attributes={})",Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155700
GSE134949,GEO,Parkinson's Disease,"IntegerElement(100, attributes={})",Non-coding RNA profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134949
GSE133101,GEO,Parkinson's Disease,"IntegerElement(69, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133101
GSE136010,GEO,Parkinson's Disease,"IntegerElement(107, attributes={})",Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136010
GSE135335,GEO,Parkinson's Disease,"IntegerElement(45, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135335
GSE135333,GEO,Parkinson's Disease,"IntegerElement(18, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135333
GSE135332,GEO,Parkinson's Disease,"IntegerElement(30, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135332
GSE101548,GEO,Parkinson's Disease,"IntegerElement(36, attributes={})",Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101548
GSE151355,GEO,Parkinson's Disease,"IntegerElement(40, attributes={})",Methylation profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151355
GSE140089,GEO,Parkinson's Disease,"IntegerElement(41, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140089
GSE133894,GEO,Parkinson's Disease,"IntegerElement(4, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133894
GSE114517,GEO,Parkinson's Disease,"IntegerElement(75, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114517
GSE124676,GEO,Parkinson's Disease,"IntegerElement(42, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124676
GSE132758,GEO,Parkinson's Disease,"IntegerElement(8, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132758
GSE118412,GEO,Parkinson's Disease,"IntegerElement(1406, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118412
GSE142505,GEO,Parkinson's Disease,"IntegerElement(11, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142505
GSE145804,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145804
GSE145361,GEO,Parkinson's Disease,"IntegerElement(1889, attributes={})",Methylation profiling by genome tiling array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145361
GSE145153,GEO,Parkinson's Disease,"IntegerElement(120, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145153
GSE135037,GEO,Parkinson's Disease,"IntegerElement(279, attributes={})",Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135037
GSE135036,GEO,Parkinson's Disease,"IntegerElement(36, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135036
GSE135035,GEO,Parkinson's Disease,"IntegerElement(123, attributes={})",Methylation profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135035
GSE134390,GEO,Parkinson's Disease,"IntegerElement(20, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134390
GSE93639,GEO,Parkinson's Disease,"IntegerElement(4, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93639
GSE144062,GEO,Parkinson's Disease,"IntegerElement(2, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144062
GSE128177,GEO,Parkinson's Disease,"IntegerElement(36, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128177
GSE140231,GEO,Parkinson's Disease,"IntegerElement(12, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140231
GSE143136,GEO,Parkinson's Disease,"IntegerElement(6, attributes={})",Expression profiling by high throughput sequencing,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143136
GSE30335,GEO,Parkinson's Disease,"IntegerElement(40, attributes={})",Expression profiling by array,Entrez,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30335
